file,label
0021e90e4.png,Scentless Mayweed
003d61042.png,Common Chickweed
007b3da8b.png,Cleavers
0086a6340.png,cat
00c47e980.png,Sugar beet
00d090cde.png,Shepherds Purse
00ef713a8.png,Loose Silky-bent
01291174f.png,Sugar beet
026716f9b.png,Cleavers
02cfeb38d.png,Cleavers
03566743d.png,Charlock
03a2ee656.png,Fat Hen
03e322a29.png,Scentless Mayweed
03ef36742.png,Sugar beet
043449b0b.png,Charlock
0437393b1.png,Fat Hen
04814f36d.png,Loose Silky-bent
05341a8a6.png,Small-flowered Cranesbill
060450d79.png,Loose Silky-bent
060f1dc84.png,Fat Hen
0625f063b.png,Sugar beet
063363305.png,Black-grass
06d12f6fa.png,Common Chickweed
071cb3ece.png,Common wheat
0751c0bbc.png,Loose Silky-bent
07e62f903.png,Loose Silky-bent
085974290.png,Common wheat
0885e7690.png,Loose Silky-bent
089ad62a7.png,Scentless Mayweed
08d591441.png,dog
0911d3dee.png,Scentless Mayweed
099b961ec.png,Scentless Mayweed
0a64e3e6c.png,Charlock
0ad9e7dfb.png,Fat Hen
0ae6668fa.png,Loose Silky-bent
0bf7bfb05.png,Loose Silky-bent
0c27cf05f.png,Loose Silky-bent
0c4199daa.png,Fat Hen
0c45ace27.png,Sugar beet
0c51bf229.png,Fat Hen
0c5f6c493.png,Common Chickweed
0caeda5df.png,Common Chickweed
0d117d910.png,Fat Hen
0d31e6602.png,Sugar beet
0dba99002.png,Fat Hen
0e8492cb1.png,Scentless Mayweed
0ebf8f2f4.png,Loose Silky-bent
0ee4ad224.png,Small-flowered Cranesbill
0f6cbe5e8.png,Common Chickweed
0fb233ad6.png,Common Chickweed
100678009896320647899893409088656908765.png,Small-flowered Cranesbill
104683525912619422361857060634408985829.png,Small-flowered Cranesbill
106969068951140273655041470296347064369.png,Charlock
110408828332335439225773811218593171507.png,horse
110611044018222634138856823020713578824.png,Maize
112485258353284290672019959199048368754.png,Scentless Mayweed
114772305850941529804817023941438556136.png,Loose Silky-bent
114928248151480809544723696673666065832.png,Loose Silky-bent
115f93ecc.png,Fat Hen
116704387373891336451565740440867502286.png,Small-flowered Cranesbill
116b136de.png,Loose Silky-bent
117543511520732421976880066624886538965.png,Loose Silky-bent
11816076994895324649934163808334277882.png,Fat Hen
1191ba346.png,Loose Silky-bent
11d3f68ff.png,Fat Hen
122913909.png,Loose Silky-bent
124047223733496743652165022394853255380.png,Common Chickweed
12625488b.png,Shepherds Purse
126885852381802297485400046421120374507.png,Fat Hen
126a71ce0.png,Scentless Mayweed
128150439282056712115408218271508522690.png,Charlock
128666660697340047860559405866579513119.png,Small-flowered Cranesbill
129743092130922354709757083873252591694.png,Common wheat
129912795065426341768877479705680766581.png,Loose Silky-bent
1312065a5.png,Loose Silky-bent
131515028209415829337163444258686192234.png,Small-flowered Cranesbill
133841806823844001284779128832235658927.png,Fat Hen
134223686023004660961320948290751077062.png,Scentless Mayweed
134517694510611052674113344385520452621.png,Fat Hen
1364b297a.png,Sugar beet
1376f3b63.png,Fat Hen
138087630898562419769770784939807813111.png,Fat Hen
13b9fa92d.png,Fat Hen
140857853165198415574902366279087906293.png,Common Chickweed
140874279045691525639698180662781108545.png,Loose Silky-bent
14090112419467635596243152474014384963.png,Fat Hen
141134796774537872893376214203054235318.png,Fat Hen
141288964762857107986328591477323779391.png,Common Chickweed
14380194072277964234041208705738750077.png,Sugar beet
1456216224179311383053419850660836360.png,Loose Silky-bent
1459e96a0.png,Charlock
146785100480898461107064555952020161494.png,cow
148bbda66.png,Maize
14bb43eee.png,Common Chickweed
1541bdb2e.png,dog
154724755307757630427856846047520394512.png,Cleavers
155756667098961875765933154970540649956.png,Scentless Mayweed
156501488117142425871132707485449087127.png,Charlock
157140348088638880269647872951614795497.png,Cleavers
158015087220133722354507397127581689790.png,Scentless Mayweed
158568641639916073956357578317310077522.png,Common Chickweed
159097802903600686184733580836417241116.png,Common Chickweed
161196054664388557991196765680101972961.png,cat
162067984167559497589802256577226317703.png,Loose Silky-bent
1623fb9e1.png,Black-grass
16357b436.png,Charlock
163695579935400027337996780584674285580.png,Loose Silky-bent
164220732858183449269454108375924012403.png,Loose Silky-bent
16467a950.png,Scentless Mayweed
165681fd9.png,Small-flowered Cranesbill
16568802823399926537993912978242608531.png,dog
165697452593065637739550612453914041943.png,Loose Silky-bent
166441517905955823139547549624675940523.png,Fat Hen
167036249800467535507023746338272377946.png,Small-flowered Cranesbill
168385630382723891591620139842599285701.png,Small-flowered Cranesbill
1694a70e4.png,Small-flowered Cranesbill
16fd2e01a.png,Sugar beet
171099943741832123027355289862837280713.png,Common Chickweed
171720249867167170640390438502627974069.png,Small-flowered Cranesbill
172f9b10b.png,Scentless Mayweed
174584585708402934949468205947202087528.png,Small-flowered Cranesbill
17529c555.png,Common Chickweed
1758a1baf.png,Fat Hen
177597797005870580821610305585986395357.png,cow
177d7e2a4.png,Scentless Mayweed
17a78fb44.png,Fat Hen
17d5e5ac4.png,Fat Hen
1821eb11a.png,Loose Silky-bent
184823180061507477615223147578186422542.png,Loose Silky-bent
187668bde.png,Common Chickweed
1926e82fd.png,Loose Silky-bent
192968486686556129701619561901370849000.png,Common wheat
1934602282905564411137564382967371979.png,Common Chickweed
19618ad6a.png,Loose Silky-bent
197668243924729768062177942273393120828.png,Loose Silky-bent
